Days for shipping (real),Days for shipment (scheduled),Delivery Status,Shipping Mode,shipping date (DateOrders),Ship Id
3,4,Advance shipping,Standard Class,2/3/2018 22:56,306068
5,4,Late delivery,Standard Class,1/18/2018 12:27,961569
4,4,Shipping on time,Standard Class,1/17/2018 12:06,717545
3,4,Advance shipping,Standard Class,1/16/2018 11:45,243148
2,4,Advance shipping,Standard Class,1/15/2018 11:24,668296
6,4,Shipping canceled,Standard Class,1/19/2018 11:03,245691
2,1,Late delivery,First Class,1/15/2018 10:42,632735
2,1,Late delivery,First Class,1/15/2018 10:21,966434
3,2,Late delivery,Second Class,1/16/2018 10:00,678250
2,1,Late delivery,First Class,1/15/2018 9:39,382162
6,2,Shipping canceled,Second Class,1/19/2018 9:18,530048
5,2,Late delivery,Second Class,1/18/2018 8:57,383825
4,2,Late delivery,Second Class,1/17/2018 8:36,700234
2,1,Late delivery,First Class,1/15/2018 8:15,802709
2,1,Late delivery,First Class,1/15/2018 7:54,278076
2,1,Late delivery,First Class,1/15/2018 7:33,728957
5,2,Late delivery,Second Class,1/18/2018 7:12,314382
2,1,Late delivery,First Class,1/15/2018 6:51,995594
2,1,Late delivery,First Class,1/15/2018 6:30,730316
0,0,Shipping on time,Same Day,1/13/2018 18:09,138848
0,0,Shipping on time,Same Day,1/13/2018 17:48,629272
5,4,Late delivery,Standard Class,1/18/2018 5:27,935821
4,2,Late delivery,Second Class,1/17/2018 5:06,521070
3,2,Shipping canceled,Second Class,1/16/2018 4:45,107487
2,2,Shipping canceled,Second Class,1/15/2018 4:24,182456
6,2,Late delivery,Second Class,1/19/2018 4:03,313511
5,2,Late delivery,Second Class,1/18/2018 3:42,400466
4,4,Shipping on time,Standard Class,1/17/2018 3:21,647889
3,4,Advance shipping,Standard Class,1/16/2018 3:00,292176
2,4,Advance shipping,Standard Class,1/15/2018 2:39,767388
6,4,Late delivery,Standard Class,1/19/2018 2:18,370728
5,4,Late delivery,Standard Class,1/18/2018 1:57,873849
4,4,Shipping on time,Standard Class,1/17/2018 1:36,852257
2,1,Late delivery,First Class,1/15/2018 1:15,730345
2,1,Late delivery,First Class,1/15/2018 0:54,494996
2,1,Late delivery,First Class,1/15/2018 0:33,787308
2,1,Late delivery,First Class,1/15/2018 0:12,202793
2,1,Late delivery,First Class,1/14/2018 23:51,552184
1,0,Late delivery,Same Day,1/13/2018 11:30,830491
1,0,Shipping canceled,Same Day,1/13/2018 11:09,404980
1,0,Late delivery,Same Day,1/13/2018 10:48,331675
1,0,Late delivery,Same Day,1/13/2018 10:27,766622
4,4,Shipping on time,Standard Class,1/16/2018 22:05,872771
3,4,Advance shipping,Standard Class,1/15/2018 21:44,502968
2,4,Advance shipping,Standard Class,1/14/2018 21:23,196665
6,4,Late delivery,Standard Class,1/18/2018 21:02,167426
5,2,Late delivery,Second Class,1/17/2018 20:41,594127
4,4,Shipping on time,Standard Class,1/16/2018 20:20,536046
5,2,Late delivery,Second Class,2/29/2016 13:57,247033
2,2,Shipping on time,Second Class,10/27/2016 14:39,306184
6,2,Late delivery,Second Class,4/5/2016 4:37,713980
2,2,Shipping on time,Second Class,11/1/2016 1:31,743018
3,2,Late delivery,Second Class,12/1/2016 1:18,885570
5,2,Late delivery,Second Class,1/5/2017 15:47,432086
6,2,Late delivery,Second Class,10/31/2015 6:24,320879
2,2,Shipping on time,Second Class,6/13/2016 15:12,104893
5,2,Late delivery,Second Class,8/29/2016 21:45,213017
6,2,Late delivery,Second Class,4/19/2016 10:12,333221
4,2,Late delivery,Second Class,5/26/2016 14:10,139369
2,2,Shipping on time,Second Class,10/6/2016 22:55,696977
5,2,Late delivery,Second Class,11/13/2016 12:32,530020
5,2,Late delivery,Second Class,11/16/2016 5:21,783799
5,2,Late delivery,Second Class,12/13/2016 0:14,948126
3,2,Late delivery,Second Class,7/10/2015 5:31,546395
2,2,Shipping on time,Second Class,7/24/2017 7:16,666509
6,2,Late delivery,Second Class,8/13/2017 6:33,363039
4,2,Late delivery,Second Class,9/26/2015 7:41,729731
2,2,Shipping on time,Second Class,7/4/2017 9:03,812379
3,2,Late delivery,Second Class,9/11/2015 12:15,985994
3,2,Late delivery,Second Class,8/23/2017 7:03,428495
4,2,Late delivery,Second Class,8/8/2017 2:31,271324
3,2,Late delivery,Second Class,9/21/2017 1:14,322028
6,2,Late delivery,Second Class,7/8/2015 19:42,886883
6,2,Late delivery,Second Class,4/3/2015 0:55,169985
